"Question","Parameter","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"Q13-yes","Beta for field_pop_copy",-0.0555534223569504,0.0669873941282222,-0.188302766417623,-0.0552548902308156,0.0754513063367146,-0.054008269099123
"Q16-cry","Range for field_pop",130.540031103405,23.8938153784253,92.1211768213593,127.693546131538,185.729239293642,120.874884859192
"Q16-cry","Stdev for field_pop",1.8244506923475,0.29327750261435,1.34347987988213,1.79251487246282,2.49350746208416,1.71310030780672
"Q16-cry","Precision for uni_eff",11.2863422129079,9.47131140958624,1.62885969218817,8.655014108728,36.2766609421798,4.49062158134068
"Q16-cry","Precision for gender_eff",46.6600767467263,39.6693126242217,6.95359851128133,35.5928125278673,151.478673439042,18.822274421867
"Q16-cry","Range for field_ans",142.672636586818,57.1533311340042,65.3806757948314,131.495176849533,286.14306203931,111.670918496421
"Q16-cry","Stdev for field_ans",1.10874734052425,0.24999016258548,0.70686993052117,1.07862521914215,1.68597076083569,1.01710214388726
"Q16-cry","Beta for field_pop_copy",0.0317999439453959,0.0791294142299129,-0.125277637625061,0.032242955104535,0.186283376267728,0.0340982514527914
"Q18-church","Range for field_pop",127.863144530654,23.0415683499027,89.9191829749935,125.38049959274,180.305842724284,119.801678496859
"Q18-church","Stdev for field_pop",1.81858317231152,0.287746439050456,1.33556682454112,1.79054108111864,2.46526343447877,1.7255827851053
"Q18-church","Precision for uni_eff",235.515078221968,772.248592530041,5.20490987068268,71.2734847115215,1499.53279822447,11.9275891499265
"Q18-church","Precision for gender_eff",25.6330781438063,30.0936282815008,2.46164673833431,16.5769869037047,104.028877135451,6.58651415534328
"Q18-church","Range for field_ans",577.758148475393,396.30186457819,174.463447298283,471.445190758547,1634.65232393984,328.589214847497
"Q18-church","Stdev for field_ans",1.73750048769914,0.831891563822592,0.730834351343775,1.54653455540646,3.90014396836544,1.22885840441135
"Q18-church","Beta for field_pop_copy",-0.273326399414728,0.0486417612533737,-0.369690051314892,-0.273119823326193,-0.178169520509971,-0.272257722557403
"Q23-known","Range for field_pop",126.250478033324,22.5518574189829,89.8589250651809,123.605726785788,178.224763082005,117.217834426285
"Q23-known","Stdev for field_pop",1.82748557232485,0.284638057427065,1.35883357176443,1.79709370561235,2.47515960594861,1.72073226526119
"Q23-known","Precision for uni_eff",87.1012757620562,128.308952822145,6.12527723433353,48.9750769493399,405.416896531971,15.978800622072
"Q23-known","Precision for gender_eff",15.7371494603587,11.5033447834061,2.33681310350059,12.7868804286525,45.0927054271879,6.81506203078574
"Q23-known","Range for field_ans",115.447699394088,30.1456933554498,70.2825184904991,110.837296625049,187.874309373537,101.004632456454
"Q23-known","Stdev for field_ans",2.13105866252219,0.401879940376875,1.48588623299342,2.08278954620176,3.06034737690094,1.96925451329689
"Q23-known","Beta for field_pop_copy",-0.0104221467938305,0.128127192734425,-0.263006542629523,-0.0103049788640787,0.241481568850443,-0.00981933127437025
"Q28-halloween","Range for field_pop",124.186259299659,22.0453609819399,88.5301908314205,121.625089596291,174.923147874897,115.454261348815
"Q28-halloween","Stdev for field_pop",1.8037962243061,0.278733751445008,1.34364420637685,1.77439986850207,2.43697863889838,1.70075758872917
"Q28-halloween","Precision for uni_eff",25.9340554297389,23.1275026836285,3.53904151828584,19.3519223333083,87.156578953117,9.66784007190489
"Q28-halloween","Precision for gender_eff",27283.3050431443,56236.4994771172,846.564446763072,11760.2580404507,150967.887927737,1987.78492691386
"Q28-halloween","Range for field_ans",50.2431437774109,14.8519143674589,28.3479655654918,47.855195574254,86.2077722339434,43.0911465284162
"Q28-halloween","Stdev for field_ans",0.809812457825118,0.117348862268936,0.604654447313293,0.801021661032016,1.06570395145059,0.782985317769726
"Q28-halloween","Beta for field_pop_copy",-0.161439555684622,0.0814691701794375,-0.323998835776569,-0.160701212322238,-0.00323029509064667,-0.157582528135519
